Item Index,RestaurantName,Item,Description,Price,Custom Meal Type,Menu Catgeory,Kcal,Protein,Carbs,Fat,Calculated Cal,Difference,%
0,Keto Counter - Business Bay,Keto Cauliflower Tabbouleh Salad (Vegetarian),Traditional middle eastern recipe with a low carb twist. Nutritional Info: 149 kcal Carbs: 5.0 g Protein: 2.0 g Fat: 14.0 g.,"AED 12.75 
 AED 17",Lunch/Dinner,Starters & Sides,149,2,5,14,154,5,3.36%
1,Keto Counter - Business Bay,Parmesan Crusted Brussel Sprouts (Vegetarian),Dill lemon and olive oil roasted brussels sprouts topped with parmesan cheese. Nutritional Info: 111 kcal Carbs: 5.0 g Protein: 4.0 g Fat: 8.0 g.,"AED 15 
 AED 20",Lunch/Dinner,Starters & Sides,111,4,5,8,108,-3,2.70%
2,Keto Counter - Business Bay,Classic Greek Salad (Vegetarian),Cucumber cherry tomato red and green capsicum sliced red onion kalamata olives and feta cheese with a Greek style vinaigrette. Nutritional Info: 226 kcal Carbs: 4.0 g Protein: 5.0 g Fat: 20.0 g.,"AED 16.50 
 AED 22",Lunch/Dinner,Starters & Sides,226,5,4,20,216,-10,4.42%
3,Keto Counter - Business Bay,Chicken Wings,Crispy garlic pan fried chicken wings with lemon wedge. Nutritional Info: 264 kcal Carbs: 0.4 g Protein: 21.0 g Fat: 20.0 g.,"AED 21 
 AED 28",Lunch/Dinner,Starters & Sides,264,21,0.4,20,265.6,1.6,0.61%
4,Keto Counter - Business Bay,Egg Cobb Salad,Boiled eggs bacon avocado cherry tomatoes romaine lettuce and crumbled blue cheese with a mayo and yoghurt vinaigrette. Nutritional Info: 490 kcal Carbs: 8.0 g Protein: 25.0 g Fat: 39.0 g.,"AED 28.50 
 AED 38",Lunch/Dinner,Starters & Sides,490,25,8,39,483,-7,1.43%
5,Keto Counter - Business Bay,Crispy Kale and Brussels Sprouts Caesar (Vegetarian),Parmesan roasted crispy kale romaine lettuce shredded brussels sprouts baby spinach and toasted almonds. Nutritional Info: 500 kcal Carbs: 18.0 g Protein: 13.0 g Fat: 44.0 g.,"AED 27.75 
 AED 37",Lunch/Dinner,Starters & Sides,500,13,18,44,520,20,4.00%
6,Keto Counter - Business Bay,Crispy Kale and Brussels Sprouts Caesar Salad with Grilled Chicken Breast,Parmesan roasted crispy kale with grilled chicken breast romaine lettuce shredded brussels sprouts baby spinach and toasted almonds nuts. Nutritional Info: 651 kcal Carbs: 18 g Protein: 44 g Fat: 76 g.,"AED 35.25 
 AED 47",Lunch/Dinner,Starters & Sides,651,44,18,76,932,281,43.16%
7,Keto Counter - Business Bay,Smoked Salmon Salad,Smoked salmon with Rocca avocado sesame sunflower seeds and fresh coriander with a lemon vinaigrette. Nutritional Info: 380 kcal Carbs: 12.0 g Protein: 27.0 g Fat: 43.0 g.,"AED 41.25 
 AED 55",Lunch/Dinner,Starters & Sides,380,27,12,43,543,163,42.89%
8,Keto Counter - Business Bay,Chicken Satay with Peanut Sauce,Coconut milk marinated chicken satay skewers with Thai inspired peanut sauce. Nutritional Info: 570 Kcal Carbs: 10.0 g Protein: 53.0 g Fat: 35.0 g.,"AED 29.25 
 AED 39",Lunch/Dinner,Mains,570,53,10,35,567,-3,0.53%
9,Keto Counter - Business Bay,Creamy Tuscan Chicken,Braised chicken breast in a cherry tomato & spinach cream sauce. Nutritional Info: 430 kcal Carbs: 7.0 g Protein: 39.0 g Fat: 26.0 g.,"AED 37.50 
 AED 50",Lunch/Dinner,Mains,430,39,7,26,418,-12,2.79%
10,Keto Counter - Business Bay,Cauliflower Mac and Cheese (Vegetarian),Steamed cauliflower in a creamy cheddar and mozzarella cheese sauce. Nutritional Info: 570 kcal Carbs: 23.0 g Protein: 29.0 g Fat: 42.0 g.,"AED 31.50 
 AED 42",Lunch/Dinner,Mains,570,29,23,42,586,16,2.81%
11,Keto Counter - Business Bay,Cauliflower Mac and Cheese with Veal Bacon,Steamed cauliflower in a creamy cheddar and mozzarella cheese sauce with veal bacon. Nutritional Info: 659 kcal Carbs: 23.3 g Protein: 35.0 g Fat: 49.0 g.,"AED 39 
 AED 52",Lunch/Dinner,Mains,659,35,23.3,49,674.2,15.2,2.31%
12,Keto Counter - Business Bay,Beef Burrito Bowl,Cauliflower rice Mexican pulled beef shredded romaine lettuce keto Pico de Gallo guacamole cheddar cheese black olives & cilantro with fresh lime wedge. Nutritional Info: 623 kcal Carbs: 15.0 g Protein: 41.0 g Fat: 44.0 g.,"AED 44.25 
 AED 59",Lunch/Dinner,Mains,623,41,15,44,620,-3,0.48%
13,Keto Counter - Business Bay,Mexican Cauliflower Rice Skillet,Mexican spiced ground beef tossed with cauliflower rice & Pico de Gallo and cheddar cheese served with sour cream & guacamole. Nutritional Info: 420 kcal Carbs: 12.0 g Protein: 24.0 g Fat: 30.0 g,"AED 39.75 
 AED 53",Lunch/Dinner,Mains,420,24,12,30,414,-6,1.43%
14,Keto Counter - Business Bay,Keto Chili Beef Tacos (2 pieces),Slow cooked beef chili in a cheese taco shell with shredded lettuce avocado fresh coriander Pico de Gallo and jalapeno with a lime wedge. Nutritional Info: 540 kcal Carbs: 12.0 g Protein: 28.0 g Fat: 42.0 g.,"AED 41.25 
 AED 55",Lunch/Dinner,Mains,540,28,12,42,538,-2,0.37%
15,Keto Counter - Business Bay,Teriyaki Steak Skewers with Asian Greens,Keto-Teriyaki glazed beef tenderloin on a bed of kale seeded cucumbers & spring onions. Nutritional Info: 250 kcal Carbs: 10.0 g Protein: 29.0 g Fat: 10.0 g.,"AED 45 
 AED 60",Lunch/Dinner,Mains,250,29,10,10,246,-4,1.60%
16,Keto Counter - Business Bay,Philly Cheese Steak Lettuce Wraps,Grilled beef tenderloin with sliced onions green bell peppers and provolone cheese with frisee lettuce on the side. Nutritional Info: 550 kcal Carbs: 9.0 g Protein: 44.0 g Fat: 38.0 g.,"AED 48 
 AED 64",Lunch/Dinner,Mains,550,44,9,38,554,4,0.73%
17,Keto Counter - Business Bay,Coconut Shrimp Curry,Shrimp curry with roasted eggplants and red bell peppers in a creamy spiced coconut sauce served without rice. Nutritional Info: 417 kcal Carbs: 7.0 g Protein: 26.0 g Fat: 33.0 g.,"AED 45 
 AED 60",Lunch/Dinner,Mains,417,26,7,33,429,12,2.88%
18,Keto Counter - Business Bay,Keto Breaded Shrimp,Beef bacon and parmesan breaded shrimps on a bed of shredded cabbage with spicy lemon aioli. Nutritional Info: 680 kcal Carbs: 5.0 g Protein: 47.0 g Fat: 52.0 g.,"AED 45 
 AED 60",Lunch/Dinner,Mains,680,47,5,52,676,-4,0.59%
19,Keto Counter - Business Bay,Crispy Lemon Butter Fish Fillet,Pan fried almond crusted white fish fillet served with a lemon caper butter sauce on a bed of sautéed vegetable medley garnished with pumpkin seeds. Nutritional Info: 880 kcal Carbs 18.0 g Protein: 54.0 g Fat: 69.0 g.,"AED 41.25 
 AED 55",Lunch/Dinner,Mains,880,54,18,69,909,29,3.30%
20,Keto Counter - Business Bay,Cajun Parmesan Salmon,Cajun spiced pan seared salmon with parmesan cream sauce & oven roasted broccoli. Nutritional Info: 570 kcal Carbs: 13.0 g Protein: 39.0 g Fat: 41.0 g.,"AED 57.75 
 AED 77",Lunch/Dinner,Mains,570,39,13,41,577,7,1.23%
21,Keto Counter - Business Bay,Keto Pecan Pie (Vegetarian),The ultimate sugar free pie you’ll ever have... its rich buttery & gooey. Nutritional Info: 388 kcal Carbs: 6.0 g Protein: 7.0 g Fat: 39.0 g.,"AED 21.75 
 AED 29",Snack,Snacks and Treats,388,7,6,39,403,15,3.87%
22,Keto Counter - Business Bay,Keto Key Lime Pie (Vegetarian),Almond & golden flax base topped with a key lime filling & whipped cream. Nutritional Info: 325 kcal Carbs: 5.0 g Protein: 4.0 g Fat: 32.0 g.,"AED 18 
 AED 24",Snack,Snacks and Treats,325,4,5,32,324,-1,0.31%
23,Keto Counter - Business Bay,Keto Cinnamon Tea Cake (Vegetarian),Our Keto cinnamon tea cake is a light & fluffy treat. Nutritional Info: 232 kcal Carbs: 3.5 g Protein: 5.0 g Fat: 22.0 g.,"AED 16.50 
 AED 22",Snack,Snacks and Treats,232,5,3.5,22,232,0,0.00%
0,Go! Healthy - Macro Counted,Salmontini Avocado Toast,[Kcal: 340 P: 20 C: 32 F: 15],AED36,Breakfast,Go! Breakfast All Day,340,20,32,15,343,3,0.88%
1,Go! Healthy - Macro Counted,Avocado Toast,[Kcal: 320 P: 7 C: 34 F: 19],AED24,Breakfast,Go! Breakfast All Day,320,7,34,19,335,15,4.69%
2,Go! Healthy - Macro Counted,Egg Avocado Toast,[Kcal: 430 P: 18 C: 32 F: 26],AED29,Breakfast,Go! Breakfast All Day,430,18,32,26,434,4,0.93%
3,Go! Healthy - Macro Counted,Greek Honey Yoghurt Cup,[Kcal: 220 P: 11 C: 43 F: 1.5] Topped with granola clusters with your choice of strawberry or bananas.,AED29,Breakfast,Go! Breakfast All Day,220,11,43,1.5,229.5,9.5,4.32%
4,Go! Healthy - Macro Counted,Greek Yoghurt Savoury Cup,[Kcal: 220 P: 14 C: 28 F: 7] A lightly salted yoghurt cup topped with baby spinach roasted cherry tomatoes and toasted chick peas oregano spring onion served with pita on the side!,AED35,Breakfast,Go! Breakfast All Day,220,14,28,7,231,11,5.00%
5,Go! Healthy - Macro Counted,Peanut Butter Crunch Yoghurt Cup,[Kcal: 390 P: 18 C: 53 F: 14] A peanut butter naturally flavored crunchy yoghurt topped with granola clusters and your choice of strawberries or bananas.,AED29,Breakfast,Go! Breakfast All Day,390,18,53,14,410,20,5.13%
